Resolution	0,3125 Hz			
Span	4000 Hz			
Sample frequency	10240 Hz			
Frequency resolution	0,3125 Hz			
X axis increment	0,3125 Hz			
X axis	0-5120 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	16385			
Value type	Complex			
Y axis quantity	Ratio			
Y axis unit	/			
Reference actual sensitivity	2,25 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	topfgehäuse:44:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	44			
Reference point id component	topfgehäuse			
Reference point id	topfgehäuse:44			
Socket ID	2014728001:P2			
Module serial number	2014728001			
Module ID	M1			
Position ID	P2			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	topfgehäuse:128:+X			
Point direction sign	+			
Point direction absolute	X			
Point direction	+X			
Point id node	128			
Point id component	topfgehäuse			
Point id	topfgehäuse:128			
Coherence type	ordinary			
Original run	Run_128			
Original section	Section1			
Original project	EMA_Frontgehäuse			
Original project dir	C:\LMS\Test,Lab Data\InLine_Hennig\EMA_Frontgehäuse,lms			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	3			
Reference window type	Uniform			
Reference window correction mode	energy			
Window type	Uniform			
Window correction mode	energy			
Function class	Coherence			
Weighting	Linear			
Modified	Fri Jul 12 2024 12:10:31			
Created	Fri Jul 12 2024 12:10:31			
          0,000000000e+00	          6,369101405e-01	          0,000000000e+00		
          3,125000000e-01	          3,745808303e-01	          0,000000000e+00		
          6,250000000e-01	          4,728552997e-01	          0,000000000e+00		
          9,375000000e-01	          4,860398918e-02	          0,000000000e+00		
          1,250000000e+00	          2,586387396e-01	          0,000000000e+00		
          1,562500000e+00	          1,381016523e-01	          0,000000000e+00		
          1,875000000e+00	          5,108891129e-01	          0,000000000e+00		
          2,187500000e+00	          1,902830899e-01	          0,000000000e+00		
          2,500000000e+00	          2,807529569e-01	          0,000000000e+00		
          2,812500000e+00	          1,903940886e-01	          0,000000000e+00		
          3,125000000e+00	          2,727756202e-01	          0,000000000e+00		
          3,437500000e+00	          3,033853173e-01	          0,000000000e+00		
          3,750000000e+00	          6,080282927e-01	          0,000000000e+00		
          4,062500000e+00	          6,017884016e-01	          0,000000000e+00		
          4,375000000e+00	          1,281434894e-01	          0,000000000e+00		
          4,687500000e+00	          1,284643263e-01	          0,000000000e+00		
          5,000000000e+00	          6,764103174e-01	          0,000000000e+00		
          5,312500000e+00	          2,173860967e-01	          0,000000000e+00		
          5,625000000e+00	          4,585950077e-02	          0,000000000e+00		
          5,937500000e+00	          3,415867090e-01	          0,000000000e+00		
          6,250000000e+00	          2,832629383e-01	          0,000000000e+00		
          6,562500000e+00	          4,472020566e-01	          0,000000000e+00		
          6,875000000e+00	          4,577079415e-01	          0,000000000e+00		
          7,187500000e+00	          8,336682916e-01	          0,000000000e+00		
          7,500000000e+00	          6,542587876e-01	          0,000000000e+00		
          7,812500000e+00	          5,512768030e-01	          0,000000000e+00		
          8,125000000e+00	          5,116286874e-01	          0,000000000e+00		
          8,437500000e+00	          5,708705783e-01	          0,000000000e+00		
          8,750000000e+00	          7,744833827e-01	          0,000000000e+00		
          9,062500000e+00	          5,740177035e-01	          0,000000000e+00		
          9,375000000e+00	          9,313228130e-01	          0,000000000e+00		
          9,687500000e+00	          5,269351602e-01	          0,000000000e+00		
          1,000000000e+01	          4,668041468e-01	          0,000000000e+00		
          1,031250000e+01	          5,699396133e-01	          0,000000000e+00		
          1,062500000e+01	          8,222417235e-01	          0,000000000e+00		
          1,093750000e+01	          5,718137026e-01	          0,000000000e+00		
          1,125000000e+01	          8,411878943e-01	          0,000000000e+00		
          1,156250000e+01	          8,803189993e-01	          0,000000000e+00		
          1,187500000e+01	          8,642629981e-01	          0,000000000e+00		
          1,218750000e+01	          9,184675813e-01	          0,000000000e+00		
          1,250000000e+01	          8,666428328e-01	          0,000000000e+00		
          1,281250000e+01	          9,783183336e-01	          0,000000000e+00		
          1,312500000e+01	          9,417026639e-01	          0,000000000e+00		
          1,343750000e+01	          9,237147570e-01	          0,000000000e+00		
          1,375000000e+01	          9,441038370e-01	          0,000000000e+00		
          1,406250000e+01	          9,778711796e-01	          0,000000000e+00		
          1,437500000e+01	          9,043287039e-01	          0,000000000e+00		
          1,468750000e+01	          9,907205701e-01	          0,000000000e+00		
          1,500000000e+01	          9,887346029e-01	          0,000000000e+00		
          1,531250000e+01	          9,789510369e-01	          0,000000000e+00		
          1,562500000e+01	          9,628428817e-01	          0,000000000e+00		
          1,593750000e+01	          9,861339927e-01	          0,000000000e+00		
          1,625000000e+01	          9,956303835e-01	          0,000000000e+00		
          1,656250000e+01	          9,822776914e-01	          0,000000000e+00		
          1,687500000e+01	          9,579552412e-01	          0,000000000e+00		
          1,718750000e+01	          9,779697657e-01	          0,000000000e+00		
          1,750000000e+01	          9,359377623e-01	          0,000000000e+00		
          1,781250000e+01	          9,954257607e-01	          0,000000000e+00		
          1,812500000e+01	          9,881229997e-01	          0,000000000e+00		
          1,843750000e+01	          9,536791444e-01	          0,000000000e+00		
          1,875000000e+01	          9,529408813e-01	          0,000000000e+00		
          1,906250000e+01	          9,342070818e-01	          0,000000000e+00		
          1,937500000e+01	          8,998799324e-01	          0,000000000e+00		
          1,968750000e+01	          8,257358670e-01	          0,000000000e+00		
          2,000000000e+01	          9,452208877e-01	          0,000000000e+00		
          2,031250000e+01	          8,882148862e-01	          0,000000000e+00		
          2,062500000e+01	          7,923384905e-01	          0,000000000e+00		
          2,093750000e+01	          7,167144418e-01	          0,000000000e+00		
          2,125000000e+01	          8,700438142e-01	          0,000000000e+00		
          2,156250000e+01	          7,448202968e-01	          0,000000000e+00		
          2,187500000e+01	          9,034287333e-01	          0,000000000e+00		
          2,218750000e+01	          8,056441545e-01	          0,000000000e+00		
          2,250000000e+01	          8,287072182e-01	          0,000000000e+00		
          2,281250000e+01	          9,248946905e-01	          0,000000000e+00		
          2,312500000e+01	          7,611929774e-01	          0,000000000e+00		
          2,343750000e+01	          7,415902019e-01	          0,000000000e+00		
          2,375000000e+01	          5,037499666e-01	          0,000000000e+00		
          2,406250000e+01	          5,436142683e-01	          0,000000000e+00		
          2,437500000e+01	          4,494974315e-01	          0,000000000e+00		
          2,468750000e+01	          4,577814043e-01	          0,000000000e+00		
          2,500000000e+01	          4,518374503e-01	          0,000000000e+00		
          2,531250000e+01	          5,674018264e-01	          0,000000000e+00		
          2,562500000e+01	          3,662921488e-01	          0,000000000e+00		
          2,593750000e+01	          2,482192069e-01	          0,000000000e+00		
          2,625000000e+01	          2,758858204e-01	          0,000000000e+00		
          2,656250000e+01	          3,708050773e-02	          0,000000000e+00		
          2,687500000e+01	          9,370099753e-03	          0,000000000e+00		
          2,718750000e+01	          7,048766613e-01	          0,000000000e+00		
          2,750000000e+01	          6,035892963e-01	          0,000000000e+00		
          2,781250000e+01	          6,717388034e-01	          0,000000000e+00		
          2,812500000e+01	          5,782552361e-01	          0,000000000e+00		
          2,843750000e+01	          4,677750468e-01	          0,000000000e+00		
          2,875000000e+01	          6,232358217e-01	          0,000000000e+00		
          2,906250000e+01	          9,305577278e-01	          0,000000000e+00		
          2,937500000e+01	          8,885897994e-01	          0,000000000e+00		
          2,968750000e+01	          8,439574838e-01	          0,000000000e+00		
          3,000000000e+01	          5,711601377e-01	          0,000000000e+00		
          3,031250000e+01	          5,379445553e-01	          0,000000000e+00		
          3,062500000e+01	          9,242914319e-01	          0,000000000e+00		
          3,093750000e+01	          9,559791684e-01	          0,000000000e+00		
          3,125000000e+01	          7,177727222e-01	          0,000000000e+00		
          3,156250000e+01	          8,694846630e-01	          0,000000000e+00		
          3,187500000e+01	          9,410420656e-01	          0,000000000e+00		
          3,218750000e+01	          9,340564013e-01	          0,000000000e+00		
          3,250000000e+01	          9,228466749e-01	          0,000000000e+00		
          3,281250000e+01	          8,363475204e-01	          0,000000000e+00		
          3,312500000e+01	          9,178913236e-01	          0,000000000e+00		
          3,343750000e+01	          8,352243900e-01	          0,000000000e+00		
          3,375000000e+01	          9,409098029e-01	          0,000000000e+00		
          3,406250000e+01	          9,598075151e-01	          0,000000000e+00		
