Resolution	0,3125 Hz			
Span	4000 Hz			
Sample frequency	10240 Hz			
Frequency resolution	0,3125 Hz			
X axis increment	0,3125 Hz			
X axis	0-5120 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	16385			
Value type	Complex			
Y axis quantity	Ratio			
Y axis unit	/			
Reference actual sensitivity	2,25 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	topfgehäuse:44:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	44			
Reference point id component	topfgehäuse			
Reference point id	topfgehäuse:44			
Socket ID	2014728001:P3			
Module serial number	2014728001			
Module ID	M1			
Position ID	P3			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input3			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	5			
Channel name	C3			
Driving point	0			
DOF id	topfgehäuse:128:+Y			
Point direction sign	+			
Point direction absolute	Y			
Point direction	+Y			
Point id node	128			
Point id component	topfgehäuse			
Point id	topfgehäuse:128			
Coherence type	ordinary			
Original run	Run_128			
Original section	Section1			
Original project	EMA_Frontgehäuse			
Original project dir	C:\LMS\Test,Lab Data\InLine_Hennig\EMA_Frontgehäuse,lms			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	3			
Reference window type	Uniform			
Reference window correction mode	energy			
Window type	Uniform			
Window correction mode	energy			
Function class	Coherence			
Weighting	Linear			
Modified	Fri Jul 12 2024 12:10:31			
Created	Fri Jul 12 2024 12:10:31			
          0,000000000e+00	          3,342821896e-01	          0,000000000e+00		
          3,125000000e-01	          9,434117079e-01	          0,000000000e+00		
          6,250000000e-01	          1,256139111e-02	          0,000000000e+00		
          9,375000000e-01	          5,798026323e-01	          0,000000000e+00		
          1,250000000e+00	          1,618053019e-01	          0,000000000e+00		
          1,562500000e+00	          3,548895419e-01	          0,000000000e+00		
          1,875000000e+00	          1,080415547e-01	          0,000000000e+00		
          2,187500000e+00	          2,782871723e-01	          0,000000000e+00		
          2,500000000e+00	          6,584609151e-01	          0,000000000e+00		
          2,812500000e+00	          8,112232089e-01	          0,000000000e+00		
          3,125000000e+00	          5,830169916e-01	          0,000000000e+00		
          3,437500000e+00	          4,661481082e-01	          0,000000000e+00		
          3,750000000e+00	          6,795822382e-01	          0,000000000e+00		
          4,062500000e+00	          8,635542393e-01	          0,000000000e+00		
          4,375000000e+00	          1,064859778e-01	          0,000000000e+00		
          4,687500000e+00	          3,455552459e-01	          0,000000000e+00		
          5,000000000e+00	          2,590985000e-01	          0,000000000e+00		
          5,312500000e+00	          7,353395820e-01	          0,000000000e+00		
          5,625000000e+00	          8,316549659e-01	          0,000000000e+00		
          5,937500000e+00	          7,545420527e-01	          0,000000000e+00		
          6,250000000e+00	          6,957915425e-02	          0,000000000e+00		
          6,562500000e+00	          3,872983158e-01	          0,000000000e+00		
          6,875000000e+00	          3,162741959e-01	          0,000000000e+00		
          7,187500000e+00	          5,062627196e-01	          0,000000000e+00		
          7,500000000e+00	          4,281495214e-01	          0,000000000e+00		
          7,812500000e+00	          6,370502114e-01	          0,000000000e+00		
          8,125000000e+00	          5,921800137e-01	          0,000000000e+00		
          8,437500000e+00	          6,076238155e-01	          0,000000000e+00		
          8,750000000e+00	          6,953278780e-01	          0,000000000e+00		
          9,062500000e+00	          6,335728765e-01	          0,000000000e+00		
          9,375000000e+00	          7,172635198e-01	          0,000000000e+00		
          9,687500000e+00	          7,556838989e-01	          0,000000000e+00		
          1,000000000e+01	          4,197550118e-01	          0,000000000e+00		
          1,031250000e+01	          7,209628820e-01	          0,000000000e+00		
          1,062500000e+01	          9,686217308e-01	          0,000000000e+00		
          1,093750000e+01	          9,151400924e-01	          0,000000000e+00		
          1,125000000e+01	          8,817933798e-01	          0,000000000e+00		
          1,156250000e+01	          8,462665081e-01	          0,000000000e+00		
          1,187500000e+01	          8,760712743e-01	          0,000000000e+00		
          1,218750000e+01	          9,193537831e-01	          0,000000000e+00		
          1,250000000e+01	          9,863215685e-01	          0,000000000e+00		
          1,281250000e+01	          9,853559136e-01	          0,000000000e+00		
          1,312500000e+01	          8,818765879e-01	          0,000000000e+00		
          1,343750000e+01	          9,680333138e-01	          0,000000000e+00		
          1,375000000e+01	          9,716996551e-01	          0,000000000e+00		
          1,406250000e+01	          8,591647148e-01	          0,000000000e+00		
          1,437500000e+01	          9,356868267e-01	          0,000000000e+00		
          1,468750000e+01	          9,274354577e-01	          0,000000000e+00		
          1,500000000e+01	          9,421149492e-01	          0,000000000e+00		
          1,531250000e+01	          9,269596934e-01	          0,000000000e+00		
          1,562500000e+01	          8,421152830e-01	          0,000000000e+00		
          1,593750000e+01	          9,564507008e-01	          0,000000000e+00		
          1,625000000e+01	          8,182867169e-01	          0,000000000e+00		
          1,656250000e+01	          8,205199838e-01	          0,000000000e+00		
          1,687500000e+01	          8,991408944e-01	          0,000000000e+00		
          1,718750000e+01	          7,146388888e-01	          0,000000000e+00		
          1,750000000e+01	          5,536060929e-01	          0,000000000e+00		
          1,781250000e+01	          7,798050046e-01	          0,000000000e+00		
          1,812500000e+01	          3,576677442e-01	          0,000000000e+00		
          1,843750000e+01	          2,919262350e-01	          0,000000000e+00		
          1,875000000e+01	          3,841140568e-01	          0,000000000e+00		
          1,906250000e+01	          8,904431462e-01	          0,000000000e+00		
          1,937500000e+01	          1,434851885e-01	          0,000000000e+00		
          1,968750000e+01	          5,504363179e-01	          0,000000000e+00		
          2,000000000e+01	          3,515140414e-01	          0,000000000e+00		
          2,031250000e+01	          9,702453017e-02	          0,000000000e+00		
          2,062500000e+01	          1,843519658e-01	          0,000000000e+00		
          2,093750000e+01	          7,202707529e-01	          0,000000000e+00		
          2,125000000e+01	          1,581050605e-01	          0,000000000e+00		
          2,156250000e+01	          5,905423760e-01	          0,000000000e+00		
          2,187500000e+01	          2,734193802e-01	          0,000000000e+00		
          2,218750000e+01	          1,545180678e-01	          0,000000000e+00		
          2,250000000e+01	          7,138147354e-01	          0,000000000e+00		
          2,281250000e+01	          5,924569368e-01	          0,000000000e+00		
          2,312500000e+01	          6,301820278e-01	          0,000000000e+00		
          2,343750000e+01	          1,587966383e-01	          0,000000000e+00		
          2,375000000e+01	          4,347078204e-01	          0,000000000e+00		
          2,406250000e+01	          7,030398846e-01	          0,000000000e+00		
          2,437500000e+01	          6,496832371e-01	          0,000000000e+00		
          2,468750000e+01	          6,778644919e-01	          0,000000000e+00		
          2,500000000e+01	          4,335036278e-01	          0,000000000e+00		
          2,531250000e+01	          7,159737349e-01	          0,000000000e+00		
          2,562500000e+01	          1,146217734e-01	          0,000000000e+00		
          2,593750000e+01	          1,448547840e-01	          0,000000000e+00		
          2,625000000e+01	          7,344137430e-01	          0,000000000e+00		
          2,656250000e+01	          8,086662292e-01	          0,000000000e+00		
          2,687500000e+01	          4,164538085e-01	          0,000000000e+00		
          2,718750000e+01	          3,435318470e-01	          0,000000000e+00		
          2,750000000e+01	          7,220429182e-01	          0,000000000e+00		
          2,781250000e+01	          4,569139779e-01	          0,000000000e+00		
          2,812500000e+01	          7,365364432e-01	          0,000000000e+00		
          2,843750000e+01	          4,394330084e-01	          0,000000000e+00		
          2,875000000e+01	          4,835019112e-01	          0,000000000e+00		
          2,906250000e+01	          8,865712881e-01	          0,000000000e+00		
          2,937500000e+01	          9,441983104e-01	          0,000000000e+00		
          2,968750000e+01	          8,805032372e-01	          0,000000000e+00		
          3,000000000e+01	          5,820099115e-01	          0,000000000e+00		
          3,031250000e+01	          9,536715150e-01	          0,000000000e+00		
          3,062500000e+01	          9,246296883e-01	          0,000000000e+00		
          3,093750000e+01	          7,418391109e-01	          0,000000000e+00		
          3,125000000e+01	          9,678744674e-01	          0,000000000e+00		
          3,156250000e+01	          8,557639122e-01	          0,000000000e+00		
          3,187500000e+01	          8,689075708e-01	          0,000000000e+00		
          3,218750000e+01	          8,990029693e-01	          0,000000000e+00		
          3,250000000e+01	          9,189127684e-01	          0,000000000e+00		
          3,281250000e+01	          9,437609911e-01	          0,000000000e+00		
          3,312500000e+01	          9,922013879e-01	          0,000000000e+00		
          3,343750000e+01	          8,959326148e-01	          0,000000000e+00		
          3,375000000e+01	          9,873787165e-01	          0,000000000e+00		
          3,406250000e+01	          9,749001265e-01	          0,000000000e+00		
