Resolution	0,3125 Hz			
Span	4000 Hz			
Sample frequency	10240 Hz			
Frequency resolution	0,3125 Hz			
X axis increment	0,3125 Hz			
X axis	0-5120 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	16385			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	2,25 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	topfgehäuse:44:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	44			
Reference point id component	topfgehäuse			
Reference point id	topfgehäuse:44			
Socket ID	2014728001:P2			
Module serial number	2014728001			
Module ID	M1			
Position ID	P2			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	topfgehäuse:128:+X			
Point direction sign	+			
Point direction absolute	X			
Point direction	+X			
Point id node	128			
Point id component	topfgehäuse			
Point id	topfgehäuse:128			
Original run	Run_128			
Original section	Section1			
Original project	EMA_Frontgehäuse			
Original project dir	C:\LMS\Test,Lab Data\InLine_Hennig\EMA_Frontgehäuse,lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	3			
Reference window type	Uniform			
Reference window correction mode	energy			
Window type	Uniform			
Window correction mode	energy			
Function class	FRF			
Weighting	Linear			
Modified	Fri Jul 12 2024 12:10:31			
Created	Fri Jul 12 2024 12:10:31			
          0,000000000e+00	         -5,080845999e-01	          0,000000000e+00		
          3,125000000e-01	         -1,681187156e-01	         -5,361265988e-02		
          6,250000000e-01	         -8,164536558e-02	         -4,097923034e-02		
          9,375000000e-01	         -1,279062136e-02	         -2,120476120e-02		
          1,250000000e+00	         -2,863359630e-02	          5,097408622e-02		
          1,562500000e+00	         -5,360281203e-03	          1,346892570e-02		
          1,875000000e+00	         -1,415948173e-02	          1,666382619e-02		
          2,187500000e+00	         -6,723552872e-03	          7,425947295e-03		
          2,500000000e+00	         -1,422913237e-02	         -1,885828663e-03		
          2,812500000e+00	         -3,003437025e-03	          7,292496837e-03		
          3,125000000e+00	         -9,175309871e-03	         -7,951631411e-04		
          3,437500000e+00	         -6,622743743e-04	          4,943640837e-03		
          3,750000000e+00	         -5,799593203e-03	          4,681215596e-03		
          4,062500000e+00	         -8,131708160e-03	          6,490895308e-03		
          4,375000000e+00	         -5,894701089e-03	          5,358242800e-03		
          4,687500000e+00	         -3,760131952e-03	          1,622958209e-03		
          5,000000000e+00	         -7,730173099e-03	          2,407875487e-03		
          5,312500000e+00	         -5,052835207e-03	          8,000458501e-04		
          5,625000000e+00	         -1,633954609e-03	         -1,966903818e-03		
          5,937500000e+00	         -6,638897215e-03	          1,358697132e-03		
          6,250000000e+00	         -6,102185930e-03	          1,202650161e-03		
          6,562500000e+00	         -3,460362828e-03	          6,159171287e-04		
          6,875000000e+00	         -7,630403020e-03	          3,285660724e-03		
          7,187500000e+00	         -8,299623056e-03	         -7,223814877e-04		
          7,500000000e+00	         -8,689151063e-03	          3,278391078e-03		
          7,812500000e+00	         -4,677870806e-03	          2,090726752e-03		
          8,125000000e+00	         -8,386951506e-03	          2,201704203e-04		
          8,437500000e+00	         -6,685948395e-03	          2,439435220e-03		
          8,750000000e+00	         -1,181391848e-02	          4,559017335e-05		
          9,062500000e+00	         -8,992938493e-03	          2,489441819e-03		
          9,375000000e+00	         -1,007640037e-02	          6,036954745e-03		
          9,687500000e+00	         -6,906274493e-03	         -3,126904397e-04		
          1,000000000e+01	         -6,406323224e-03	          3,547543981e-04		
          1,031250000e+01	         -5,542376032e-03	          6,359406519e-03		
          1,062500000e+01	         -1,080642910e-02	          5,795493224e-03		
          1,093750000e+01	         -5,356136019e-03	          4,116582439e-03		
          1,125000000e+01	         -1,574774511e-02	          6,306018662e-03		
          1,156250000e+01	         -1,058794235e-02	          1,675920987e-03		
          1,187500000e+01	         -1,312267824e-02	          4,043342753e-03		
          1,218750000e+01	         -1,774254801e-02	          7,464317597e-03		
          1,250000000e+01	         -1,103235986e-02	          7,229077650e-03		
          1,281250000e+01	         -1,470685266e-02	          9,723084224e-03		
          1,312500000e+01	         -1,828993869e-02	          8,907156891e-03		
          1,343750000e+01	         -1,779294208e-02	          1,323663737e-02		
          1,375000000e+01	         -1,667153156e-02	          1,498544761e-02		
          1,406250000e+01	         -1,601664568e-02	          1,869256398e-02		
          1,437500000e+01	         -1,547479052e-02	          1,521642765e-02		
          1,468750000e+01	         -1,325998138e-02	          1,960269169e-02		
          1,500000000e+01	         -1,728704274e-02	          2,310066165e-02		
          1,531250000e+01	         -1,841557666e-02	          2,495096356e-02		
          1,562500000e+01	         -1,643427296e-02	          2,598907837e-02		
          1,593750000e+01	         -1,449124991e-02	          3,143201177e-02		
          1,625000000e+01	         -1,546352498e-02	          3,143165925e-02		
          1,656250000e+01	         -6,013826883e-03	          3,859792855e-02		
          1,687500000e+01	         -2,190601486e-03	          3,658147284e-02		
          1,718750000e+01	          9,096456408e-03	          3,472258275e-02		
          1,750000000e+01	          1,446405246e-02	          3,055814683e-02		
          1,781250000e+01	          1,550726974e-02	          2,776814936e-02		
          1,812500000e+01	          1,817446006e-02	          2,284576019e-02		
          1,843750000e+01	          1,591794837e-02	          1,693844767e-02		
          1,875000000e+01	          1,482926474e-02	          1,593032314e-02		
          1,906250000e+01	          1,519306541e-02	          1,280478914e-02		
          1,937500000e+01	          1,103517472e-02	          1,100896722e-02		
          1,968750000e+01	          9,011997526e-03	          9,008676669e-03		
          2,000000000e+01	          1,007724293e-02	          9,095082784e-03		
          2,031250000e+01	          6,980293680e-03	          9,064860777e-03		
          2,062500000e+01	          8,806915768e-03	          8,044736032e-03		
          2,093750000e+01	          6,335821669e-03	          7,632744563e-03		
          2,125000000e+01	          7,117569468e-03	          7,940995512e-03		
          2,156250000e+01	          5,575372258e-03	          8,086531277e-03		
          2,187500000e+01	          5,664954879e-03	          4,859401522e-03		
          2,218750000e+01	          5,514483412e-03	          7,457877974e-03		
          2,250000000e+01	          4,206467440e-03	          7,571233103e-03		
          2,281250000e+01	          7,666632353e-03	          6,710497366e-03		
          2,312500000e+01	          5,456635076e-03	          5,074984134e-03		
          2,343750000e+01	          2,076537322e-03	          6,635232192e-03		
          2,375000000e+01	          2,433513745e-03	          4,842195514e-03		
          2,406250000e+01	          2,273781712e-03	          5,825807160e-03		
          2,437500000e+01	          2,955828760e-03	          4,987355585e-03		
          2,468750000e+01	          2,825261735e-03	          5,429676566e-03		
          2,500000000e+01	          4,160710775e-04	          5,594919809e-03		
          2,531250000e+01	          1,853527606e-03	          5,820710012e-03		
          2,562500000e+01	          3,884418712e-03	          2,993786519e-03		
          2,593750000e+01	          8,306181959e-04	          2,699952924e-03		
          2,625000000e+01	          1,692086046e-04	          4,394897046e-03		
          2,656250000e+01	         -6,568845810e-04	          1,060361652e-03		
          2,687500000e+01	         -3,704494815e-04	          3,886535369e-04		
          2,718750000e+01	         -9,582850738e-04	          3,219287638e-03		
          2,750000000e+01	         -9,267055873e-04	          2,508930299e-03		
          2,781250000e+01	         -3,654251602e-03	          3,269244094e-03		
          2,812500000e+01	         -4,006570201e-03	          3,708825424e-03		
          2,843750000e+01	         -5,012096012e-03	          1,391335422e-03		
          2,875000000e+01	         -3,145954123e-03	          9,229764603e-04		
          2,906250000e+01	         -4,516332093e-03	          6,210535080e-03		
          2,937500000e+01	         -4,084302655e-03	          3,634282771e-03		
          2,968750000e+01	         -5,715452655e-03	          4,315166075e-03		
          3,000000000e+01	         -4,314826088e-03	          2,625567918e-03		
          3,031250000e+01	         -3,947991747e-03	          3,421885781e-03		
          3,062500000e+01	         -7,260514494e-03	          2,914301896e-03		
          3,093750000e+01	         -6,564125118e-03	          4,556186942e-03		
          3,125000000e+01	         -5,295682128e-03	          2,808430663e-03		
          3,156250000e+01	         -5,686237694e-03	          4,279467426e-03		
          3,187500000e+01	         -5,563126264e-03	          4,117501354e-03		
          3,218750000e+01	         -7,816968965e-03	          5,198414279e-03		
          3,250000000e+01	         -6,950854973e-03	          4,498077253e-03		
          3,281250000e+01	         -7,401656638e-03	          5,296454032e-03		
          3,312500000e+01	         -6,675598351e-03	          5,911276507e-03		
