Resolution	0,3125 Hz			
Span	4000 Hz			
Sample frequency	10240 Hz			
Frequency resolution	0,3125 Hz			
X axis increment	0,3125 Hz			
X axis	0-5120 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	16385			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	2,25 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	topfgehäuse:44:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	44			
Reference point id component	topfgehäuse			
Reference point id	topfgehäuse:44			
Socket ID	2014728001:P3			
Module serial number	2014728001			
Module ID	M1			
Position ID	P3			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input3			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	5			
Channel name	C3			
Driving point	0			
DOF id	topfgehäuse:128:+Y			
Point direction sign	+			
Point direction absolute	Y			
Point direction	+Y			
Point id node	128			
Point id component	topfgehäuse			
Point id	topfgehäuse:128			
Original run	Run_128			
Original section	Section1			
Original project	EMA_Frontgehäuse			
Original project dir	C:\LMS\Test,Lab Data\InLine_Hennig\EMA_Frontgehäuse,lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	3			
Reference window type	Uniform			
Reference window correction mode	energy			
Window type	Uniform			
Window correction mode	energy			
Function class	FRF			
Weighting	Linear			
Modified	Fri Jul 12 2024 12:10:31			
Created	Fri Jul 12 2024 12:10:31			
          0,000000000e+00	         -1,325963980e-01	          0,000000000e+00		
          3,125000000e-01	         -1,269721979e-01	         -8,414381136e-02		
          6,250000000e-01	         -2,714804474e-03	         -1,060243986e-02		
          9,375000000e-01	         -5,088170089e-02	         -7,336938283e-03		
          1,250000000e+00	          1,582814314e-02	          9,781948722e-03		
          1,562500000e+00	         -1,998735047e-02	         -4,076188169e-03		
          1,875000000e+00	         -3,727584357e-03	          3,009005027e-03		
          2,187500000e+00	         -1,043089793e-02	         -5,156710916e-05		
          2,500000000e+00	         -1,893558603e-02	         -1,502436797e-02		
          2,812500000e+00	         -2,005691146e-02	          1,047902035e-02		
          3,125000000e+00	         -6,851938851e-03	          2,368819892e-03		
          3,437500000e+00	         -7,734137463e-03	         -5,495822107e-03		
          3,750000000e+00	         -1,161092223e-02	         -4,677095103e-03		
          4,062500000e+00	         -1,067563700e-02	          3,743710383e-03		
          4,375000000e+00	         -1,663114678e-03	          3,467817853e-03		
          4,687500000e+00	         -5,163730273e-03	          3,042470397e-03		
          5,000000000e+00	         -5,915895773e-03	          1,265722902e-03		
          5,312500000e+00	         -1,049582293e-02	          8,240278587e-04		
          5,625000000e+00	         -1,235473962e-02	         -1,406847667e-03		
          5,937500000e+00	         -5,128087466e-03	         -3,301843352e-03		
          6,250000000e+00	         -7,559232127e-04	          1,696105396e-03		
          6,562500000e+00	         -5,773889036e-03	         -3,072790887e-04		
          6,875000000e+00	         -3,963736380e-03	          7,060223136e-04		
          7,187500000e+00	         -6,421555407e-03	          7,942066661e-04		
          7,500000000e+00	         -3,122232518e-03	          5,562568989e-03		
          7,812500000e+00	         -9,707396192e-03	          3,609816708e-04		
          8,125000000e+00	         -9,314934039e-03	         -3,372739216e-03		
          8,437500000e+00	         -9,231294165e-03	         -8,035889339e-04		
          8,750000000e+00	         -9,246375919e-03	         -1,798618236e-04		
          9,062500000e+00	         -8,626228752e-03	         -3,998192177e-04		
          9,375000000e+00	         -1,049975539e-02	          6,271203695e-04		
          9,687500000e+00	         -1,057489520e-02	          4,973617446e-03		
          1,000000000e+01	         -6,882783851e-03	         -7,650084667e-04		
          1,031250000e+01	         -8,260682184e-03	          1,556749894e-03		
          1,062500000e+01	         -1,050132655e-02	          8,475826991e-04		
          1,093750000e+01	         -1,104202613e-02	          4,750912958e-03		
          1,125000000e+01	         -1,305610155e-02	          3,935427798e-03		
          1,156250000e+01	         -1,187802752e-02	          1,012871527e-03		
          1,187500000e+01	         -8,016539513e-03	          2,032449538e-03		
          1,218750000e+01	         -1,317562507e-02	          5,351596146e-03		
          1,250000000e+01	         -1,327937167e-02	          5,729187756e-03		
          1,281250000e+01	         -9,204359587e-03	          1,053418944e-02		
          1,312500000e+01	         -1,226961596e-02	          8,088187528e-03		
          1,343750000e+01	         -1,117353847e-02	          1,299646438e-02		
          1,375000000e+01	         -1,414566648e-02	          1,396880631e-02		
          1,406250000e+01	         -7,221913229e-03	          1,441878213e-02		
          1,437500000e+01	         -5,124285308e-03	          1,728183087e-02		
          1,468750000e+01	          3,109763158e-03	          2,018355229e-02		
          1,500000000e+01	          6,804101332e-03	          1,862481424e-02		
          1,531250000e+01	          7,914787252e-03	          1,353731971e-02		
          1,562500000e+01	          1,196108618e-02	          8,059259371e-03		
          1,593750000e+01	          9,777814175e-03	          6,799433441e-03		
          1,625000000e+01	          1,038857998e-02	          2,814354036e-03		
          1,656250000e+01	          7,198924021e-03	          1,782852448e-03		
          1,687500000e+01	          6,364398442e-03	          5,063002532e-03		
          1,718750000e+01	          7,214579383e-03	          4,235615259e-04		
          1,750000000e+01	          4,816506163e-03	         -1,541511632e-03		
          1,781250000e+01	          4,804604714e-03	         -3,650103046e-04		
          1,812500000e+01	          2,493942754e-03	         -2,466062100e-03		
          1,843750000e+01	          6,063654371e-04	          1,351267654e-03		
          1,875000000e+01	          3,664875535e-03	          7,190005507e-05		
          1,906250000e+01	          4,331096086e-03	         -6,614289649e-04		
          1,937500000e+01	         -1,063607959e-03	          1,812018786e-03		
          1,968750000e+01	         -9,022501609e-04	         -3,393687362e-03		
          2,000000000e+01	          2,027650971e-03	         -2,611866627e-04		
          2,031250000e+01	         -1,312752240e-03	          4,545514480e-04		
          2,062500000e+01	          1,037469502e-03	         -8,057168925e-04		
          2,093750000e+01	          3,432387015e-03	          3,162822231e-06		
          2,125000000e+01	          4,596235717e-04	         -1,462569944e-03		
          2,156250000e+01	          2,764428160e-03	         -1,182685888e-03		
          2,187500000e+01	          9,967652543e-04	         -2,676619455e-04		
          2,218750000e+01	         -3,791272613e-05	         -1,718733914e-03		
          2,250000000e+01	          2,847416550e-03	         -2,301676042e-03		
          2,281250000e+01	         -5,825981997e-04	         -2,125092993e-03		
          2,312500000e+01	          2,024591657e-03	         -5,690293417e-04		
          2,343750000e+01	          1,319882188e-03	         -5,758137945e-04		
          2,375000000e+01	          2,500349328e-03	         -1,619879141e-03		
          2,406250000e+01	          1,856872206e-03	         -3,949772976e-03		
          2,437500000e+01	         -7,577831703e-04	         -1,402139700e-03		
          2,468750000e+01	          2,159755726e-03	         -1,825993397e-03		
          2,500000000e+01	          1,316418877e-03	         -1,177788459e-03		
          2,531250000e+01	          4,452071486e-03	         -2,484898337e-03		
          2,562500000e+01	          7,288510725e-04	         -1,111968850e-03		
          2,593750000e+01	          1,860803141e-03	         -2,473815469e-04		
          2,625000000e+01	          4,672859130e-03	          4,778722861e-04		
          2,656250000e+01	          4,558417182e-03	         -1,526918836e-05		
          2,687500000e+01	          2,564038225e-03	          1,575566377e-03		
          2,718750000e+01	          2,507743383e-03	          1,758927943e-04		
          2,750000000e+01	          6,622181244e-03	         -8,124576004e-05		
          2,781250000e+01	          2,143121998e-03	         -1,479646035e-03		
          2,812500000e+01	          3,707700618e-03	         -1,383042870e-03		
          2,843750000e+01	          3,178129632e-03	          1,473683250e-03		
          2,875000000e+01	          3,543730332e-03	         -1,806412987e-03		
          2,906250000e+01	          6,980077152e-03	         -1,929022794e-03		
          2,937500000e+01	          7,313018384e-03	          1,898217870e-03		
          2,968750000e+01	          9,652622175e-03	         -3,460482583e-04		
          3,000000000e+01	          7,544598625e-03	         -1,261661670e-03		
          3,031250000e+01	          1,104867924e-02	         -7,321282920e-04		
          3,062500000e+01	          1,060570070e-02	         -1,394956855e-03		
          3,093750000e+01	          6,957093262e-03	         -1,392652445e-03		
          3,125000000e+01	          8,287457215e-03	         -2,345020603e-03		
          3,156250000e+01	          1,152230297e-02	         -3,287282026e-03		
          3,187500000e+01	          9,372284360e-03	         -2,736758336e-03		
          3,218750000e+01	          1,299378551e-02	         -2,493163063e-03		
          3,250000000e+01	          1,437979491e-02	         -3,770711440e-03		
          3,281250000e+01	          1,381030925e-02	         -4,210893351e-03		
